# md_1200K_96atom.extxyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     116      96      -568.324      -568.343      0.000193407      22.7149      22.6539      0.0346597      
     117      96      -568.109      -568.148      0.000403146      23.3407      23.2845      0.0357578      
     118      96      -568.232      -568.284      0.000539124      23.5056      23.4713      0.0355929      
     119      96      -568.859      -568.921      0.00063723      23.2302      23.2664      0.0336647      
     120      96      -569.855      -569.915      0.000626887      22.1105      22.1443      0.0307467      
     121      96      -570.501      -570.548      0.000490906      21.1114      21.1812      0.0301057      
     122      96      -570.697      -570.72      0.00023916      21.1514      21.239      0.0278328      
     123      96      -581.207      -581.183      0.00024633      12.6503      12.6691      0.0143396      
     124      96      -571.347      -571.331      0.000171575      21.5896      21.5859      0.0250609      
     125      96      -570.761      -570.733      0.000283181      22.6674      22.6507      0.0263648      
     126      96      -570.137      -570.118      0.000202971      23.5016      23.4816      0.0268292      
     127      96      -569.434      -569.435      1.02865e-05      23.7938      23.7871      0.0301547      
     128      96      -569.034      -569.044      0.000105642      23.4381      23.4738      0.02984      
     129      96      -568.896      -568.897      1.59649e-05      23.1764      23.1738      0.027987      
     130      96      -568.882      -568.861      0.000224381      23.3936      23.3349      0.027102      
     131      96      -568.911      -568.869      0.000436083      23.4793      23.4162      0.0303266      
     132      96      -568.926      -568.883      0.000455298      22.901      22.8961      0.0338572      
     133      96      -568.652      -568.625      0.000287072      22.5978      22.6017      0.0380551      
     134      96      -568.297      -568.269      0.000288896      22.6318      22.6616      0.0379729      
     135      96      -567.877      -567.827      0.000517522      22.5625      22.6144      0.0353992      
     136      96      -567.351      -567.303      0.000504461      20.688      20.7432      0.0359236      
     137      96      -568.184      -568.117      0.000699243      22.6136      22.6067      0.0327185      
     138      96      -568.767      -568.713      0.000564647      22.1234      22.1002      0.0323069      
     139      96      -569.129      -569.104      0.000264009      21.6663      21.6444      0.0297316      
     140      96      -569.054      -569.1      0.000478018      21.8999      21.9076      0.0311868      
     141      96      -568.472      -568.569      0.00100942      22.6321      22.6446      0.030643      
     142      96      -568.023      -568.127      0.00108763      23.5146      23.5407      0.0300756      
     143      96      -567.95      -568.041      0.000947104      23.99      24.0361      0.0290948      
     144      96      -579.685      -579.653      0.00033503      15.6202      15.6463      0.0159665      
     145      96      -568.915      -569.006      0.000945198      22.732      22.7943      0.0296496      
     146      96      -569.57      -569.683      0.00118461      22.4323      22.4783      0.0298826      
     147      96      -569.828      -569.954      0.00131513      22.0892      22.1337      0.0292011      
     148      96      -569.883      -570.01      0.00132543      21.8507      21.9365      0.0287369      
     149      96      -569.576      -569.679      0.00107141      22.2717      22.3109      0.0279399      
     150      96      -569.376      -569.442      0.00068244      22.3596      22.3547      0.0261512      
     151      96      -569.444      -569.432      0.000131244      21.6968      21.6919      0.0302817      
     152      96      -565.617      -565.615      3.12039e-05      23.7712      23.7826      0.0343591      
     153      96      -569.539      -569.47      0.000721531      21.8476      21.9257      0.0346441      
     154      96      -569.389      -569.328      0.000634079      22.4862      22.6008      0.0337404      
     155      96      -569.271      -569.213      0.000606014      22.8738      22.9952      0.031552      
     156      96      -569.096      -569.027      0.000717236      23.1616      23.2539      0.0291117      
     157      96      -568.816      -568.734      0.000849192      23.703      23.7246      0.0301129      
     158      96      -568.804      -568.732      0.000754405      23.9138      23.8964      0.0305144      
     159      96      -569.159      -569.121      0.000392729      23.3051      23.2726      0.0312115      
     160      96      -565.255      -565.29      0.0003612      24.2156      24.2034      0.032701      
     161      96      -569.662      -569.706      0.000460856      22.4083      22.3624      0.0303888      
     162      96      -569.525      -569.588      0.000651591      23.3711      23.3079      0.0312163      
     163      96      -569.746      -569.794      0.000501688      23.2542      23.2228      0.0311509      
     164      96      -570.438      -570.461      0.000235636      21.618      21.6784      0.0333536      
     165      96      -570.574      -570.565      9.5329e-05      21.469      21.5769      0.0333943      
     166      96      -570.059      -570.033      0.000269155      23.2381      23.3432      0.0332505      
     167      96      -569.573      -569.535      0.000394616      24.6605      24.7455      0.0327722      
     168      96      -570.161      -570.118      0.00044593      23.0925      23.153      0.0305697      
     169      96      -570.942      -570.879      0.000657072      20.9116      20.9218      0.0266422      
     170      96      -570.578      -570.475      0.00107328      21.225      21.2001      0.0278699      
