# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     124      2      -23.6891      -23.6891      2.72183e-06      0.00340598      0.000818007      0.00086554      
     125      2      -23.6896      -23.6901      0.000255425      0.00354041      0.000874077      0.000896589      
     126      2      -23.6902      -23.6905      0.000133599      0.00248732      0.000593998      0.000451987      
     127      2      -23.6902      -23.6899      0.000155743      0.00353669      0.000886012      0.000887171      
# Elastic_FCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     128      4      -46.4374      -46.4379      0.000131957      0.00267092      0.00126595      0.000399798      
     129      4      -46.4402      -46.4385      0.000415232      0.00371769      0.00149255      0.000561419      
     130      4      -46.4354      -46.4364      0.000236133      0.000470071      0.000810592      0.000114811      
     131      4      -46.4404      -46.4416      0.000283968      0.00374668      0.00128368      0.000650981      
     132      4      -46.417      -46.417      1.19593e-05      0.00280677      0.00118615      0.000365941      
     133      4      -46.4383      -46.4405      0.00054138      0.00374814      0.00121244      0.000613604      
     134      4      -46.4379      -46.438      1.20686e-05      0.00386793      0.00235823      0.000536382      
     135      4      -46.4465      -46.4459      0.00016881      0.00375987      0.00203395      0.000549118      
     136      4      -46.4358      -46.4357      2.31809e-05      0.000859272      0.00169085      0.000274866      
     137      4      -46.4395      -46.4382      0.000331798      0.00263812      0.00116005      0.000308903      
     138      4      -46.4272      -46.4263      0.00022948      0.000421269      0.000529702      2.86813e-05      
     139      4      -46.4412      -46.4433      0.000519948      0.00372502      0.00181842      0.000488171      
     140      4      -46.4388      -46.439      5.39617e-05      0.00276622      0.00141697      0.000347865      
     141      4      -46.4318      -46.4324      0.000165747      0.00384549      0.00101047      0.000713866      
     142      4      -46.4122      -46.4127      0.00010281      0.00483216      0.00180196      0.000916803      
     143      4      -46.4421      -46.4432      0.000272053      0.00265514      0.00169159      0.000186052      
     144      4      -46.4311      -46.4315      9.97893e-05      0.00468768      0.00168054      0.000941176      
     145      4      -46.4336      -46.4356      0.000496658      0.00272247      0.000959304      0.000368468      
     146      4      -46.4387      -46.4377      0.000261295      0.00377131      0.00121771      0.000643031      
     147      4      -46.4281      -46.4284      9.61882e-05      0.00274247      0.00206008      0.000290838      
     148      4      -46.4323      -46.4323      2.33218e-05      0.00269363      0.00062742      0.000407038      
     149      4      -46.4413      -46.4423      0.000243305      0.00375185      0.00242444      0.000479655      
     150      4      -46.4372      -46.4366      0.000134857      0.000409522      0.000532124      5.69269e-05      
     151      4      -46.4308      -46.4308      5.68938e-06      0.00382497      0.00139999      0.000607743      
     152      4      -46.4327      -46.4331      0.000106233      0.000472118      0.000727277      7.06386e-05      
     153      4      -46.4341      -46.4343      6.6467e-05      0.00269722      0.00128445      0.00036442      
     154      4      -46.4298      -46.4306      0.000189963      0.0027444      0.00131575      0.00032307      
     155      4      -46.4463      -46.4457      0.000146882      0.00445828      0.00180789      0.000773732      
     156      4      -46.4359      -46.4359      1.02719e-05      0.00270386      0.0018693      0.00024419      
     157      4      -46.4398      -46.4421      0.000566649      0.00265018      0.000602093      0.000350928      
     158      4      -46.4354      -46.4344      0.000247654      0.000717951      0.00109298      0.000118556      
     159      4      -46.438      -46.4363      0.00042119      0.00379225      0.00183915      0.00062082      
     160      4      -46.424      -46.4239      6.59183e-06      0.00387469      0.00146346      0.00064164      
     161      4      -46.4276      -46.4281      0.000117858      0.00269802      0.00085845      0.000359298      
     162      4      -46.4265      -46.4269      0.000112092      0.00283822      0.00184572      0.00044565      
     163      4      -46.4234      -46.4211      0.000571361      0.00386119      0.00130915      0.000638871      
     164      4      -46.4308      -46.4322      0.000350854      0.000712176      0.000725311      2.58388e-05      
     165      4      -46.4308      -46.4294      0.000358641      0.00269888      0.00106833      0.000368795      
     166      4      -46.4448      -46.4451      9.31115e-05      0.00264719      0.00177604      0.000331182      
     167      4      -46.4346      -46.4359      0.000306342      0.00380878      0.00237607      0.000509465      
     168      4      -46.4389      -46.4397      0.000197055      0.000357778      0.0011194      0.000132704      
     169      4      -46.427      -46.4283      0.00033138      0.0039078      0.001277      0.000680681      
     170      4      -46.4239      -46.4246      0.000169315      0.00272716      0.000803296      0.000338966      
     171      4      -46.4126      -46.413      0.000119794      0.00283305      0.00124832      0.000377789      
     172      4      -46.4347      -46.437      0.000567653      0.000841737      0.00133194      0.000164309      
     173      4      -46.4431      -46.4436      0.000121317      0.00370992      0.00117705      0.000625491      
     174      4      -46.4402      -46.4397      0.000117802      3.42276e-06      0      9.23212e-07      
     175      4      -46.4372      -46.4355      0.00041218      0.00378037      0.000933839      0.000731809      
     176      4      -46.434      -46.4348      0.000205832      0.00382266      0.00117329      0.000673751      
     177      4      -46.4362      -46.4349      0.000316031      0.00383232      0.00134949      0.000667942      
     178      4      -46.4274      -46.4265      0.000232579      0.00390077      0.00124894      0.000658177      
     179      4      -46.4373      -46.437      7.28444e-05      0.000607012      0.000938419      8.32783e-05      
     180      4      -46.4291      -46.4289      5.08474e-05      0.00384135      0.00128635      0.00064888      
     181      4      -46.4409      -46.4425      0.000413378      0.00260458      0.000948555      0.000364513      
     182      4      -46.4305      -46.4287      0.000436421      0.00382954      0.00142432      0.0005838      
     183      4      -46.4335      -46.4334      2.98436e-05      0.00383985      0.00127638      0.000638303      
     184      4      -46.4397      -46.4388      0.00023444      0.000664499      0.000818694      4.08391e-05      
     185      4      -46.4414      -46.442      0.000147256      0.00267787      0.00188774      0.00022336      
     186      4      -46.4374      -46.439      0.000404254      0.000613121      0.000821568      5.21685e-05      
     187      4      -46.4368      -46.437      5.17551e-05      0.00274231      0.00148232      0.000375395      
     188      4      -46.4281      -46.4272      0.000222755      0.00282264      0.00129389      0.000407287      
     189      4      -46.4388      -46.438      0.000193392      0.00377626      0.00162729      0.000574986      
     190      4      -46.4204      -46.4201      7.67309e-05      0.00401872      0.00239524      0.000465919      
     191      4      -46.4454      -46.4452      2.63884e-05      0.00365259      0.00121933      0.000578619      
     192      4      -46.4443      -46.446      0.000437866      0.00260427      0.00130533      0.000442095      
     193      4      -46.4357      -46.4345      0.000310293      0.00268704      0.000832334      0.00034458      
     194      4      -46.4425      -46.4446      0.000513152      0.00262481      0.000974421      0.000283233      
     195      4      -46.4408      -46.4418      0.000237376      0.00375527      0.00133923      0.000639685      
     196      4      -46.4374      -46.4364      0.000243392      0.00384395      0.00178674      0.000635697      
     197      4      -46.4448      -46.4464      0.000394528      0.00257977      0.000658878      0.00036651      
     198      4      -46.4484      -46.4498      0.000353983      0.00364464      0.00213506      0.000429348      
     199      4      -46.4257      -46.4272      0.000360922      0.00384025      0.00105079      0.000662569      
     200      4      -46.427      -46.4279      0.000215813      0.00383048      0.00148767      0.000601811      
     201      4      -46.4419      -46.44      0.000472193      0.00262739      0.000757203      0.000337903      
     202      4      -46.4365      -46.4372      0.000185471      0.00267566      0.00150559      0.000272843      
     203      4      -46.4233      -46.4226      0.000171052      0.00278231      0.00160171      0.00043246      
     204      4      -46.4431      -46.4435      0.00011248      0.003742      0.0015903      0.000595124      
     205      4      -46.4389      -46.4399      0.000250854      0.00375968      0.00153049      0.000601051      
     206      4      -46.4375      -46.4377      3.70402e-05      0.00463299      0.00244025      0.000660915      
     207      4      -46.4438      -46.4456      0.000431164      0.00260946      0.00113392      0.000321522      
     208      4      -46.4387      -46.4391      9.71593e-05      0.0037661      0.00183073      0.000524552      
     209      4      -46.4438      -46.4431      0.000170634      0.000413117      0.000576687      3.09219e-05      
     210      4      -46.4405      -46.4397      0.000195171      0.00266984      0.00120417      0.000320412      
     211      4      -46.4364      -46.4364      1.42396e-05      0.00378736      0.00146166      0.000634488      
     212      4      -46.4274      -46.4266      0.000208047      0.00274324      0.00135962      0.000292506      
     213      4      -46.4339      -46.434      2.30018e-05      0.00278857      0.00139113      0.000374642      
     214      4      -46.4358      -46.4363      0.000109143      0.00384356      0.00250335      0.000638301      
     215      4      -46.4332      -46.4345      0.000323066      0.00272775      0.00104164      0.000360992      
     216      4      -46.4385      -46.4388      7.4063e-05      0.00266782      0.00109829      0.000365978      
     217      4      -46.4386      -46.4403      0.000404549      0.000499263      0.000606989      5.75424e-05      
     218      4      -46.4257      -46.4229      0.000701623      0.000514831      0.000736524      8.33103e-05      
     219      4      -46.4187      -46.4181      0.000144333      0.0039474      0.00202841      0.000704113      
     220      4      -46.4404      -46.4405      3.75984e-05      0.00268045      0.00115819      0.000345952      
     221      4      -46.41      -46.4098      4.84922e-05      0.00281247      0.00175957      0.000460468      
     222      4      -46.4414      -46.4403      0.00027257      0.0026437      0.000953404      0.000322811      
     223      4      -46.4378      -46.4377      2.70515e-05      0.000614371      0.00092618      8.68915e-05      
     224      4      -46.4181      -46.4165      0.000387577      0.00274378      0.000757366      0.000366839      
     225      4      -46.4407      -46.4403      9.39157e-05      0.00267348      0.000772539      0.000350273      
     226      4      -46.4399      -46.4384      0.00036801      0.00266354      0.000561202      0.000360202      
     227      4      -46.4405      -46.4389      0.00039581      0.00261858      0.00165088      0.000243638      
# GSF_110.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     228      24      -279.07      -279.069      5.55322e-05      1.81481      1.75635      0.00380714      
     229      24      -279.791      -279.784      0.000260389      0.881466      0.905767      0.00706864      
     230      24      -279.888      -279.902      0.000568592      0.0711981      0.00156595      0.00352474      
     231      24      -279.58      -279.584      0.000191814      1.06134      1.03557      0.00912754      
     232      24      -279.791      -279.784      0.000261009      0.881463      0.90564      0.00704916      
     233      24      -279.306      -279.302      0.000151892      1.76867      1.77197      0.00781257      
     234      24      -279.553      -279.556      9.87956e-05      1.45033      1.40563      0.0101313      
     235      24      -279.244      -279.247      0.000104175      0.491641      0.481396      0.00612535      
     236      24      -279.306      -279.302      0.000152023      1.76868      1.77195      0.00781307      
     237      24      -279.244      -279.247      0.000102895      0.491177      0.480948      0.00606256      
     238      24      -279.888      -279.896      0.000334603      0.0736268      0.0106055      0.00355978      
     239      24      -279.58      -279.584      0.000193462      1.06142      1.03584      0.00908588      
     240      24      -279.129      -279.124      0.000183576      1.81318      1.80955      0.00550164      
     241      24      -279.376      -279.379      0.000122894      0.888621      0.898269      0.00863139      
     242      24      -279.376      -279.379      0.000122057      0.888333      0.898081      0.00857794      
     243      24      -279.129      -279.124      0.000183541      1.81318      1.80952      0.00550486      
     244      24      -279.888      -279.902      0.000568592      0.0711981      0.00157037      0.00352412      
     245      24      -279.793      -279.793      1.9103e-05      0.807569      0.839261      0.00714918      
     246      24      -279.888      -279.896      0.000334603      0.0736269      0.0106024      0.00355946      
     247      24      -279.206      -279.206      7.04813e-07      0.0378096      0.00532652      0.00229602      
     248      24      -279.553      -279.556      9.86914e-05      1.45034      1.40563      0.0101296      
