# n48.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     150      48      -99822.9      -99823.1      0.00455768      16.967      17.0067      0.00969358      
     151      48      -99934.8      -99934.7      0.00164602      10.0636      10.1268      0.00811959      
     152      48      -99925.5      -99925.7      0.00301973      9.63827      9.90691      0.0123904      
     153      48      -99930.3      -99930.3      0.00162506      2.91816      2.91647      0.00179182      
     154      48      -99877.2      -99877.2      6.07209e-05      28.0061      28.0384      0.00561858      
     155      48      -99882      -99882      0.000569098      15.5027      15.5819      0.0307403      
     156      48      -99953.2      -99952.7      0.0105993      9.27408      9.67025      0.0189077      
     157      48      -99945.4      -99945.3      0.0011596      2.97279      3.02885      0.00802292      
     158      48      -99772.5      -99772.3      0.00364574      49.6799      49.6431      0.00352882      
     159      48      -99856.5      -99856.2      0.00640186      15.5684      15.5483      0.0063469      
     160      48      -99918.1      -99918.6      0.0102451      21.2179      21.2175      0.0081353      
     161      48      -99925.9      -99925.8      0.00350648      6.41423      6.56579      0.0121164      
     162      48      -99950.3      -99950.2      0.00283831      13.1238      13.1953      0.0143274      
     163      48      -99931.7      -99931.7      0.000980268      5.15261      5.30741      0.00997684      
     164      48      -99918.7      -99918.7      0.000741267      8.61157      8.50556      0.0211388      
     165      48      -99930      -99929.7      0.00555002      13.4221      13.3159      0.0151191      
     166      48      -99945.7      -99946      0.00521535      7.12851      7.1496      0.0181993      
     167      48      -99897.8      -99898      0.00450997      31.2447      31.2487      0.00154197      
     168      48      -99934.5      -99934.6      0.00234514      4.68033      4.57743      0.00743459      
     169      48      -99893.9      -99893.7      0.00533353      17.4432      17.2403      0.0157585      
     170      48      -99950.5      -99950.8      0.0074641      8.53622      8.82207      0.0165876      
     171      48      -99935.5      -99935.6      0.00206123      7.59335      7.68336      0.0114094      
     172      48      -99858.1      -99858      0.00207564      20.6839      20.7549      0.00511432      
     173      48      -99918.4      -99918.4      6.04661e-05      21.1516      21.2514      0.0111392      
     174      48      -99913.2      -99913      0.00444129      13.0414      13.1684      0.0106682      
     175      48      -99912.6      -99912.4      0.00483477      19.6394      19.5752      0.0128857      
     176      48      -99935.1      -99934.8      0.00597845      15.0691      15.0755      0.0072389      
     177      48      -99908.1      -99907.6      0.011108      15.9134      16.0067      0.00617879      
     178      48      -99946.1      -99946.4      0.00569304      2.31456      2.1774      0.00981042      
     179      48      -99872.3      -99871.9      0.00792906      13.1546      13.1429      0.012238      
     180      48      -99930.4      -99930.4      8.95712e-05      13.4151      13.4092      0.00409902      
     181      48      -99941.2      -99940.7      0.00943555      12.8247      12.5908      0.0168376      
     182      48      -99921.8      -99921.6      0.00434823      18.6021      18.4315      0.014555      
     183      48      -99887.6      -99888      0.00747728      19.3032      19.1751      0.00846344      
     184      48      -99957.4      -99957.5      0.00235174      4.60653      4.43628      0.0151863      
     185      48      -99950.5      -99950.4      0.00154322      5.10179      5.05774      0.00917931      
     186      48      -99913      -99912.8      0.00568486      7.3142      7.22149      0.00595318      
     187      48      -99870      -99870      0.000139058      40.9427      40.8769      0.00415856      
     188      48      -99851      -99851.4      0.0101338      8.93273      8.88648      0.00961853      
     189      48      -99953.3      -99953      0.00629185      3.922      3.97151      0.00801632      
     190      48      -99827.5      -99827.8      0.00630584      28.2616      28.121      0.0133077      
     191      48      -99903.1      -99902.9      0.00350755      5.0712      5.16656      0.0148857      
     192      48      -99936.1      -99936.4      0.00448114      6.17493      6.19701      0.00375001      
     193      48      -99883      -99882.9      0.00399449      13.2243      13.3268      0.0275459      
     194      48      -99822      -99822.3      0.00528247      13.7904      13.8541      0.0171079      
     195      48      -99917.7      -99917.8      0.0029033      17.5174      17.5494      0.00375831      
     196      48      -99936.4      -99936      0.00889802      8.13836      8.01887      0.0127872      
     197      48      -99938.4      -99938.8      0.0079252      9.14343      9.26363      0.00965185      
     198      48      -99943.3      -99943.5      0.00476039      4.4772      4.43406      0.00265791      
     199      48      -99808.6      -99808.9      0.00502216      22.5949      22.7777      0.0132862      
     200      48      -99912.5      -99912.6      0.00258694      9.52617      9.443      0.00741152      
     201      48      -99945.2      -99944.9      0.00529166      2.79043      2.88225      0.00812137      
     202      48      -99893.9      -99894.3      0.00859154      5.03806      5.11912      0.013756      
     203      48      -99925.7      -99925.6      0.00194412      11.2973      10.916      0.0245294      
     204      48      -99926.3      -99926.7      0.00671034      12.2062      12.2269      0.00474709      
     205      48      -99915.3      -99915.4      0.00220454      15.1073      14.7984      0.0209025      
     206      48      -99896.7      -99896.6      0.00291107      24.8117      24.9084      0.00793741      
     207      48      -99771.7      -99771.6      0.00351975      30.4177      30.4112      0.00620547      
     208      48      -99951.8      -99951.9      0.00288229      7.21945      6.94451      0.0183086      
     209      48      -99931.3      -99931      0.00569878      6.64533      6.71012      0.00515225      
     210      48      -99921.8      -99922      0.005377      12.8336      12.7086      0.0128058      
     211      48      -99826.6      -99826.7      0.002157      29.1889      29.1732      0.00358821      
     212      48      -99941.4      -99941.4      0.000594016      11.7039      11.5812      0.0071233      
     213      48      -99930.5      -99930.5      0.000475781      6.0842      6.21977      0.0159475      
     214      48      -99938.7      -99939.6      0.0178346      11.2741      11.0922      0.0150497      
     215      48      -99941      -99941.1      0.00283658      6.96559      6.86854      0.00865305      
     216      48      -99930.2      -99929.9      0.00564318      18.7559      18.7001      0.00549335      
     217      48      -99938.9      -99938.7      0.0044399      4.74393      4.73023      0.00854192      
     218      48      -99870.7      -99870.9      0.00362543      18.6634      18.9127      0.0223812      
     219      48      -99890.6      -99890.8      0.00521635      21.4995      21.3445      0.0155063      
     220      48      -99920      -99920.6      0.0120088      14.1744      13.9498      0.0216177      
     221      48      -99948.9      -99948.8      0.00218313      6.20194      6.26412      0.00433735      
     222      48      -99882      -99882.5      0.00917791      11.3824      11.3681      0.00730042      
     223      48      -99920.1      -99920      0.00240625      14.9134      15.172      0.0149435      
     224      48      -99946      -99945.9      0.00354112      3.52413      3.55576      0.00937326      
     225      48      -99959      -99958.9      0.00340834      4.83064      4.62999      0.0158543      
     226      48      -99918.7      -99919      0.00574777      4.99639      4.91459      0.0124147      
     227      48      -99922.5      -99922.5      0.00115839      17.8757      17.8781      0.00585054      
     228      48      -99940.4      -99940.6      0.00399199      3.1163      3.0134      0.00840406      
     229      48      -99932.7      -99932.8      0.00335652      9.50113      9.53222      0.00553893      
     230      48      -99878.3      -99878.6      0.00514326      5.99737      6.04205      0.0155774      
     231      48      -99956.5      -99956.5      0.000473607      9.87549      9.83851      0.0133836      
     232      48      -99935.1      -99935.1      0.000544835      15.1654      15.0792      0.0187343      
     233      48      -99935.4      -99935.6      0.0053829      10.1437      10.2998      0.0149873      
     234      48      -99824.4      -99824.6      0.00317446      16.1728      16.0797      0.00927515      
     235      48      -99734.6      -99734.9      0.00437941      37.337      37.4694      0.00776319      
     236      48      -99898.6      -99898.6      0.000556444      24.9813      25.1254      0.0135309      
     237      48      -99891.6      -99891.8      0.00237432      12.0083      11.9799      0.00632485      
     238      48      -99916.5      -99916.2      0.00602453      21.7797      21.7727      0.00278037      
     239      48      -99933.7      -99933.7      0.000793965      13.4953      13.6747      0.015226      
     240      48      -99960.8      -99960.9      0.00236855      1.94922      1.92962      0.0136067      
     241      48      -99940.5      -99940.6      0.00299829      6.64356      6.79999      0.0289504      
     242      48      -99908.8      -99908.8      4.11823e-05      14.473      14.5939      0.00907463      
     243      48      -99891.2      -99891.2      0.00100213      22.8321      22.8941      0.00707195      
     244      48      -99926.5      -99926.2      0.0052317      6.32417      6.45471      0.00765632      
     245      48      -99799.9      -99799.9      0.000736968      26.7684      26.7815      0.00363065      
     246      48      -99872.3      -99871.9      0.0079291      13.1546      13.1431      0.0122148      
     247      48      -99908.3      -99908.6      0.00632114      18.9128      19.0107      0.00929209      
     248      48      -99850.4      -99850.3      0.00306507      20.3955      20.4754      0.00657273      
     249      48      -99935.4      -99934.8      0.0109767      8.99227      8.95902      0.0135316      
     250      48      -99949.4      -99949.4      0.00173466      4.69762      4.82062      0.0081058      
     251      48      -99956.7      -99957      0.00616908      7.33499      7.57398      0.0152352      
     252      48      -99829.9      -99829.8      0.00282847      26.877      27.0325      0.011543      
     253      48      -99920.6      -99921.1      0.00991048      8.19802      8.08333      0.0257321      
     254      48      -99860      -99860.6      0.0117599      23.8491      23.7811      0.00875412      
     255      48      -99899.4      -99899.6      0.00366292      8.25853      8.22578      0.0133602      
     256      48      -99932.7      -99932.5      0.00367899      14.7483      14.8835      0.0111735      
     257      48      -99922.4      -99922.5      0.00192136      16.2515      16.4448      0.0151097      
     258      48      -99771.8      -99771.1      0.0140692      26.8771      27.0683      0.014602      
     259      48      -99929      -99928.9      0.00182269      4.44725      4.60987      0.0134521      
     260      48      -99889      -99888.9      0.00134827      24.883      25.0052      0.0207511      
     261      48      -99874.1      -99874.1      0.000143782      21.2457      21.1642      0.0123545      
     262      48      -99958.8      -99958.5      0.00591973      6.31115      6.13714      0.0147388      
     263      48      -99938.5      -99938.7      0.00329641      10.6802      10.959      0.0194512      
     264      48      -99903.7      -99902.8      0.0175093      8.93826      8.98902      0.0230593      
     265      48      -99936.4      -99936.4      0.000690746      14.3311      14.3196      0.00712017      
     266      48      -99942.9      -99943.1      0.00380038      7.47888      7.71598      0.0272075      
     267      48      -99937.2      -99937.3      0.00225107      2.92033      2.98463      0.0100068      
     268      48      -99877.2      -99877      0.00467261      14.9976      15.077      0.0053483      
     269      48      -99851.4      -99851.1      0.00562089      24.6236      24.7011      0.0184673      
     270      48      -99948.1      -99948.1      0.000479311      3.39472      3.13179      0.0176828      
     271      48      -99944.9      -99944.6      0.00638935      7.91224      7.8476      0.00673041      
     272      48      -99927.4      -99927.4      0.000235278      11.8952      11.6594      0.0164571      
     273      48      -99883.2      -99883.6      0.00846004      25.5669      25.5564      0.0137854      
     274      48      -99958.3      -99958.7      0.00727761      2.03673      2.01865      0.00466255      
     275      48      -99956.1      -99956.1      0.000662636      9.95634      9.98827      0.0108618      
     276      48      -99851.2      -99851.6      0.00826089      23.8738      23.6507      0.0196201      
     277      48      -99937.9      -99937.9      9.53016e-05      5.51342      5.71534      0.0152904      
     278      48      -99832.9      -99832.4      0.0101358      45.5492      45.4187      0.012721      
     279      48      -99927      -99926.9      0.000207792      16.1552      16.2326      0.00736922      
     280      48      -99934.5      -99934.6      0.00234522      4.68033      4.57734      0.00750624      
     281      48      -99921.2      -99921.5      0.00520647      10.8822      10.8947      0.0191992      
     282      48      -99927      -99926.9      0.000207951      16.1552      16.2341      0.00754289      
     283      48      -99860.3      -99860.2      0.00244428      16.526      16.5265      0.00381202      
     284      48      -99821.3      -99821.3      0.000251388      20.0765      19.9652      0.00955722      
     285      48      -99942.2      -99942.5      0.00719385      8.69187      8.68297      0.0148106      
     286      48      -99940.7      -99940.8      0.00197213      21.3398      21.4096      0.0107736      
     287      48      -99949.9      -99950      0.00261423      5.49014      5.63109      0.00985859      
     288      48      -99871.1      -99871      0.00102363      10.5541      10.4698      0.00954022      
     289      48      -99957.5      -99957.9      0.00836399      9.23237      9.15685      0.01049      
     290      48      -99864.7      -99864.8      0.00153253      31.9217      31.9183      0.0102579      
     291      48      -99923.1      -99923.4      0.00484373      18.529      18.2204      0.0212665      
     292      48      -99921.9      -99921.9      0.0011316      15.6115      15.6758      0.0121466      
     293      48      -99935.2      -99935.3      0.00100828      3.89317      3.86758      0.00481991      
     294      48      -99870.3      -99869.8      0.0113148      15.5442      15.4737      0.00749827      
     295      48      -99899.1      -99898.9      0.00227544      19.3039      19.3272      0.00908182      
     296      48      -99886.3      -99886.5      0.00392488      30.3932      30.3767      0.0141995      
     297      48      -99914.1      -99914.1      0.000702141      18.4692      18.7286      0.0192828      
     298      48      -99916.1      -99915.9      0.00343847      2.89275      3.00866      0.0110963      
     299      48      -99959.7      -99959.6      0.00172588      11.825      11.7664      0.00730829      
     300      48      -99929.7      -99929.5      0.00298198      12.4223      12.4958      0.00947941      
     301      48      -99946.6      -99946.5      0.00228637      7.74908      7.55226      0.0159183      
     302      48      -99927.3      -99927.2      0.00196133      14.1448      14.3641      0.0149659      
     303      48      -99884.8      -99884.4      0.00671154      11.0808      11.0036      0.00756079      
     304      48      -99848.8      -99849.3      0.0104851      45.1441      45.2872      0.0092909      
     305      48      -99954.1      -99954.3      0.00268718      9.7503      9.5704      0.0149186      
     306      48      -99935.6      -99935.6      0.00130343      8.43928      8.31924      0.0103015      
     307      48      -99907.7      -99907.6      0.0033514      15.952      15.8708      0.0174225      
     308      48      -99939.3      -99939.5      0.0047895      10.7755      10.6294      0.0168858      
     309      48      -99952.5      -99952.6      0.00198096      1.56612      1.71623      0.019913      
     310      48      -99960.6      -99961      0.00941558      4.4749      4.2152      0.0189172      
     311      48      -99926.5      -99926.3      0.00584023      13.5756      13.7317      0.0117832      
     312      48      -99942.6      -99942.7      0.00201386      11.8355      11.7121      0.00833866      
     313      48      -99941.9      -99942.2      0.00552166      1.52696      1.6263      0.00913571      
     314      48      -99878.2      -99878.3      0.00226966      16.4227      16.4701      0.00882555      
     315      48      -99887.3      -99887.5      0.00466505      24.4113      24.5296      0.0141871      
     316      48      -99809.7      -99809.8      0.000729621      24.0354      24.2217      0.0130592      
     317      48      -99760.3      -99759.8      0.00959962      29.998      30.0187      0.0145495      
     318      48      -99945.6      -99945.5      0.00179985      11.082      10.7254      0.037311      
     319      48      -99864.7      -99864.8      0.00153253      31.9217      31.9182      0.0102298      
     320      48      -99797.4      -99797.3      0.0026551      18.4966      18.4802      0.0104065      
     321      48      -99944.5      -99944.5      0.000127684      6.71      6.77441      0.00519125      
     322      48      -99919.8      -99920.2      0.0087078      9.60016      9.41721      0.0126406      
     323      48      -99917.7      -99917.8      0.00290342      17.5174      17.5491      0.00221327      
     324      48      -99948.4      -99948.6      0.00246445      4.94921      4.92763      0.00324585      
     325      48      -99955.5      -99955.6      0.0025817      8.65863      8.64422      0.00755529      
     326      48      -99824.4      -99824.6      0.00317458      16.1728      16.0795      0.00965544      
     327      48      -99931.8      -99931.8      0.000670197      10.5758      10.6681      0.013406      
     328      48      -99902.2      -99902      0.00318624      9.55511      9.47928      0.00974477      
     329      48      -99903.1      -99903.2      0.00287201      15.0809      14.9132      0.0137741      
     330      48      -99935.8      -99935.4      0.00852421      4.87518      4.91226      0.0040791      
     331      48      -99935.9      -99936.2      0.00640848      8.6116      8.71534      0.00775566      
     332      48      -99926.5      -99926.2      0.00433428      20.8974      21.1826      0.0215579      
     333      48      -99940.4      -99940.6      0.00399198      3.1163      3.01334      0.00828729      
     334      48      -99924.4      -99924.1      0.00752483      18.3089      18.3147      0.00275484      
